COUNTRY,REGION,E-WASTE GENERATED (MILLION KG),E-WASTE GENERATED (KG/CAPITA),E-WASTE DOCUMENTED AS FORMALLY COLLECTED AND RECYCLED (MILLION KG),"REFERENCE FOR
E-WASTE COLLECTION AND RECYCLING DATA","NATIONAL E-WASTE
LEGISLATION/ POLICY OR REGULATION
IN PLACE",EPRFOR E-WASTE,COLLECTION TARGET IN PLACE,RECYCLING TARGETS IN PLACE
Czech Republic,Europe,173,"16,5","118,9","Eurostat, 2022. Waste electrical and electronic equipment (WEEE) by  waste management operations (env_waselee), Metadata in Euro SDMX Metadata Structure (ESMS). Eurostat, the statistical office of the European Union. https://ec.europa.eu/eurostat/databrowser/view/env_waseleeos/
default/table?lang=en",Yes,Yes,Yes,Yes
Cote d'Ivoire,Africa,42,"1,5",N/A,,Yes,Yes,No,No
Democratic Republic of the Congo,Africa,56,"0,6",N/A,,No,No,No,No
Denmark,Europe,131,"22,3",79,"Eurostat, 2022. Waste electrical and electronic equipment (WEEE) by  waste management operations (env_waselee), Metadata in Euro SDMX Metadata Structure (ESMS). Eurostat, the statistical office of the European Union. https://ec.europa.eu/eurostat/databrowser/view/env_waseleeos/ default/table?lang=en",Yes,Yes,Yes,Yes
Djibouti,Africa,2,1.7,N/A,,No,No,No,No
Dominica,Americas,1,"8,9",N/A,,No,No,No,No
Dominican Republic,Americas,99,"8,8",N/A,,Yes,Yes,No,No
Ecuador,Americas,108,6,"3,3","Communication  with Ecuadorian Ministry of Environment, Water and Ecological Transition (MAATE) in the  context of this report:
M. Wagner, C.P. Balde, V. Lucia, I. C Nnorom, R. Kuehr, G. lattoni.
Regional E-waste Monitor for Latin America: Results for  the 13 countries participating in project UNIDO-GEF 5554, Bonn
(Germany), 2022. https://www.scycle.info/regional-e-waste-moni-
tor-latin-america-2021/",Yes,Yes,Yes,No
Egypt,Africa,692,"6,3",N/A,,Yes,Yes,No,No
El Salvador,Americas,41,6.4,"0,5","Communication  with Ministry of Environment and Natural Resources  from El Salvador in the  context of this report: M. Wagner, C.P. Balde, V. Lucia, I. C Nnorom, R. Kuehr, G. lattoni. Regional E-waste Monitor for Latin America: Results for  the 13 countries participating in project UNIDO-GEF 5554, Bonn
(Germany), 2022. https://www.scycle.info/regional-e-waste-moni- tor-latin-america-2021/",No,No,No,No
Equatorial Guinea,Africa,18,"10,6",N/A,,No,No,No,No
Eritrea,Africa,3,0.7,N/A,,No,No,No,No
Estonia,Europe,19,"14,2",12.4,"Eurostat, 2022. Waste electrical and electronic equipment (WEEE) by  waste management operations (env_waselee), Metadata in Euro SDMX Metadata Structure (ESMS). Eurostat, the statistical office of the European Union.
https://ec.europa.eu/eurostat/data browser/view/env_waseleeos/
default/table?lang=en",Yes,Yes,Yes,Yes
Ethiopia,Africa,88,0.7,N/A,,No,No,No,No
Fiji,Oceania,7,"7,2",N/A,,No,No,No,No
Finland,Europe,118,"21,3","89,6","Eurostat, 2022. Waste electrical and electronic equipment (WEEE) by  waste management operations (env_waselee), Metadata in Euro SDMX Metadata Structure (ESMS). Eurostat, the statistical office of the European Union. https://ec.europa.eu/eurostat/databrowser/view/env_waseleeos/ default/table?lang=en",Yes,Yes,Yes,Yes
France,Europe,1445,"22,4","860,7","Eurostat, 2022. Waste electrical and electronic equipment (WEEE) by  waste management operations (env_waselee), Metadata in Euro SDMX Metadata Structure (ESMS). Eurostat, the statistical office of the European Union. https://ec.europa.eu/eurostat/databrowser/view/env_waseleeos/
default/table?lang=en",Yes,Yes,Yes,Yes
Gabon,Africa,21,"8,7",N/A,,No,No,No,No
Gambia,Africa,4,"1,4",N/A,,No,No,No,No
Georgia,Asia,34,"8,9",N/A,,Yes,Yes,Yes,No
Germany,Europe,1767,"21,2","956,6","Eurostat, 2022. Waste electrical and electronic equipment (WEEE) by  waste management operations (env_waselee), Metadata in Euro SDMX Metadata Structure (ESMS). Eurostat, the statistical office of the European Union.
https://ec.europa.eu/eurostat/data browser/view/env_waseleeos/ default/table?lang=en",Yes,Yes,Yes,Yes
Ghana,Africa,72,"2,2",N/A,,Yes,Yes,No,No
Greece,Europe,194,"18,6","58,6","C.P. Balde, G. lattoni, C. Xu, T. Yamamoto, Update of WEEE Collection Rates, Targets, Flows, and Hoarding -  2021 in the EU-27, United Kingdom, Norway, Switzerland, and Iceland, 2022, SCYCLE Programme, United Nations Institute for Training and Research (UNITAR), Bonn, Germany. https://www.scycle.info/new-study-up- date-of-weee-collection-rates-targets-flows-and-hoarding/ Eurostat, 2022. Waste electrical and electronic equipment (WEEE) by  waste management operations (env_waselee), Metadata in Euro SDMX Metadata Structure (ESMS). Eurostat, the statistical office of the European Union. https://ec.europa.eu/eurostat/data-
browser/view/env_waseleeos/default/table?lang=en",Yes,Yes,Yes,Yes
Grenada,Americas,1,"10,4",N/A,,No,No,No,No
Guatemala,Americas,92,"5,2","1,1","Communication  with Ministry of Environment and Natural Resources in the  context of this report: M. Wagner, C.P. Balde, V. Luda, I. C Nnorom, R. Kuehr, G. lattoni. Regional E-waste Monitor for Latin America: Results for  the 13 countries participating in project UNIDO-GEF 5554, Bonn (Germany), 2022. https://www.scycle.info/ regional-e-waste-monitor-latin-america-2021/",No,No,No,No
Guinea,Africa,14,1,N/A,,No,No,No,No
Guinea- Bissau,Africa,1,"0,6",N/A,,No,No,No,No
Guyana,Americas,7,"8,1",N/A,,No,No,No,No
Haiti,Americas,12,"1,1",N/A,,No,No,No,No
Honduras,Americas,36,"3,5","0,1","Communication with Secretariat of Natural Resources and Environment in the context of this report: M. Wagner, C.P. Balde, V. Luda, I. C Nnorom, R. Kuehr, G. lattoni. Regional E-waste Monitor for Latin America: Results for the 13 countries participating in project UNIDO-GEF 5554, Bonn (Germany), 2022. https://www.scycle.info/ regional-e-waste-monitor-latin-america-2021/",No,No,No,No
Hungary,Europe,138,"14,3","90,4","Eurostat, 2022. Waste electrical and electronic equipment (WEEE) by waste management operations (env_waselee), Metadata in Euro SDMX Metadata Structure (ESMS). Eurostat, the statistical office of the European Union. https://ec.europa.eu/eurostat/databrowser/view/env_waseleeos/
default/table?lang=en",Yes,Yes,Yes,Yes
